Incident_case_id,Date,Offense,Street_Number,Street_Address,Zip Codes,Precinent
PP21092600000632,9/26/2021,"AUTO, STOLEN & RECOVERED",8800 BLOCK,8832 HUNTING LN,15999,
PP21092600001665,9/26/2021,"AUTO, STOLEN",4400 BLOCK,4451 TELFAIR BLVD,15577,
PP21092600001165,9/26/2021,THEFT FROM AUTO,4000 BLOCK,4032 WARNER AVE,10891,
PP21092600001216,9/26/2021,THEFT FROM AUTO,7700 BLOCK,7723 EMERSON RD,10891,
PP21092600000959,9/26/2021,ACCIDENT WITH IMPOUND,,PENNSYLVANIA AVE EB / SHADYSIDE AVE,15577,
PP21092600001392,9/26/2021,ASSAULT,5000 BLOCK,5028 EDMONSTON RD,8347,
PP21092600001654,9/26/2021,ACCIDENT WITH IMPOUND,7000 BLOCK,7001 HIGHVIEW TER,8789,
PP21092600001287,9/26/2021,ACCIDENT WITH IMPOUND,,ANNAPOLIS RD EB / NB CAP BELT HWY ONRP EB ANNAPOLIS RD,15994,
PP21092600000686,9/26/2021,ACCIDENT WITH IMPOUND,,PALMER RD / FRAN DEL DR,15572,
PP21092600000486,9/26/2021,"B & E, COMMERCIAL",10400 BLOCK,10492 CAMPUS WAY S,8340,
PP21092600002029,9/26/2021,ASSAULT,5300 BLOCK,5307 EMERSON ST,8347,
PP21092600002045,9/26/2021,"AUTO, STOLEN",1200 BLOCK,1217 DOEWOOD LN,15568,
PP21092600000987,9/26/2021,ACCIDENT WITH IMPOUND,3600 BLOCK,3636 BRANCH AVE NB,15577,
PP21092600000392,9/26/2021,ACCIDENT WITH IMPOUND,,INDIAN HEAD HWY NB / WILSON BRIDGE DR,15574,
PP21092600000159,9/26/2021,"ROBBERY, VEHICLE",3600 BLOCK,3615 GRAMBY ST,10891,
PP21092600001465,9/26/2021,THEFT FROM AUTO,4100 BLOCK,4111 PENNSYLVANIA AVE EB,15577,
PP21092600000342,9/26/2021,ACCIDENT WITH IMPOUND,,LONGFELLOW ST / GREENVALE PKWY,15302,
PP21092600000374,9/26/2021,ACCIDENT WITH IMPOUND,2400 BLOCK,2419 BANNING PL,10889,
PP21092600000549,9/26/2021,THEFT FROM AUTO,1400 BLOCK,1401 UNIVERSITY BLVD EB,10889,
PP21092600000458,9/26/2021,ACCIDENT WITH IMPOUND,,MUIRKIRK RD / LAUREL BOWIE RD NB,15999,
PP21092600000624,9/26/2021,"ROBBERY, VEHICLE",500 BLOCK,501 TWEED WAY,31451,
PP21092600001724,9/26/2021,ACCIDENT WITH IMPOUND,,INDIAN HEAD HWY NB / AUDREY LN,15574,
PP21092600001689,9/26/2021,ACCIDENT WITH IMPOUND,,BALTIMORE AVE NB / CONTEE RD,15996,
PP21092600001448,9/26/2021,"AUTO, STOLEN",6800 BLOCK,6805 RIVERDALE RD EB,15302,
PP21092600000578,9/26/2021,"AUTO, STOLEN",2600 BLOCK,2611 PORTER AVE,15577,
PP21092600000384,9/26/2021,"B & E, RESIDENTIAL",50 BLOCK,57 HARRY S TRUMAN DR SB,8340,
PP21092600001737,9/26/2021,ACCIDENT WITH IMPOUND,5600 BLOCK,5607 KENNEDY ST,15302,
PP21092600001811,9/26/2021,ACCIDENT WITH IMPOUND,2900 BLOCK,2914 COLEBROOKE DR,15817,
PP21092600000889,9/26/2021,THEFT FROM AUTO,6300 BLOCK,6303 MERNA LN,15994,
PP21092600000140,9/26/2021,ASSAULT,10100 BLOCK,10106 52ND AVE,15305,
PP21092600000008,9/26/2021,"ROBBERY, RESIDENTIAL",3100 BLOCK,3131 BRANCH AVE SB,15817,
PP21092600000469,9/26/2021,ACCIDENT WITH IMPOUND,,GREENBELT RD WB / ICESAT RD,16240,
PP21092600002215,9/26/2021,ACCIDENT WITH IMPOUND,,THRIFT RD / SPELL RD,15298,
PP21092600002255,9/26/2021,ACCIDENT WITH IMPOUND,,8TH AVE / RITTENHOUSE ST,10889,
PP21092600000412,9/26/2021,"AUTO, STOLEN",2000 BLOCK,2051 UNIVERSITY BLVD EB,10889,
PP21092600001263,9/26/2021,ACCIDENT WITH IMPOUND,,LOTTSFORD RD WB / GRAND BLVD,8340,
PP21092600002056,9/26/2021,"B & E, RESIDENTIAL",6500 BLOCK,6579 PENNSYLVANIA AVE EB,15814,
PP21092600000106,9/26/2021,"AUTO, STOLEN",,BROMLEY AVE / LEWIS AVE,15577,
PP21092700000624,9/27/2021,THEFT FROM AUTO,5800 BLOCK,5807 MARLBORO PIKE EB,15814,
PP21092700000908,9/27/2021,ASSAULT,600 BLOCK,601 CRAIN HWY SW,8340,
PP21092700002294,9/27/2021,ACCIDENT WITH IMPOUND,,UNIVERSITY BLVD EB / RIGGS RD,10889,
PP21092700000648,9/27/2021,"AUTO, STOLEN",2600 BLOCK,2611 AFTON ST,15817,
PP21092700001585,9/27/2021,THEFT FROM AUTO,3500 BLOCK,3584 POWDER MILL RD WB,15750,
PP21092700001472,9/27/2021,ACCIDENT WITH IMPOUND,2300 BLOCK,2300 BLK BROOKS DR NB,15577,
PP21092700000997,9/27/2021,"B & E, RESIDENTIAL",4100 BLOCK,4161 SOUTHERN AVE,15568,
PP21092700000374,9/27/2021,THEFT FROM AUTO,8900 BLOCK,8905 HEATHERMORE BLVD SB,17002,
PP21092700001654,9/27/2021,THEFT FROM AUTO,11200 BLOCK,11228 CHERRY HILL RD SB,15750,
PP21092700000404,9/27/2021,THEFT FROM AUTO,1800 BLOCK,1807 KEOKEE ST,10889,
PP21092700000371,9/27/2021,THEFT FROM AUTO,5200 BLOCK,5221 COCHRAN RD,15750,
PP21092700001066,9/27/2021,"AUTO, STOLEN",4400 BLOCK,4420 WHEELER RD,15574,
PP21092700000973,9/27/2021,ACCIDENT WITH IMPOUND,3000 BLOCK,3002 POWDER MILL RD,10889,
PP21092700002168,9/27/2021,THEFT FROM AUTO,6400 BLOCK,6400 CLIPPER WAY,15574,
PP21092700001014,9/27/2021,THEFT FROM AUTO,1200 BLOCK,1201 SHADY GLEN DR,15814,
PP21092700000923,9/27/2021,"AUTO, STOLEN",11300 BLOCK,11362 EVANS TRL,15750,
PP21092700001625,9/27/2021,"AUTO, STOLEN",2200 BLOCK,2200 PHELPS RD,10889,
PP21092700000691,9/27/2021,THEFT FROM AUTO,2800 BLOCK,2812 EVANSGREEN DR,15577,
PP21092700000795,9/27/2021,THEFT FROM AUTO,9900 BLOCK,9961 GOOD LUCK RD EB,15994,
PP21092700001515,9/27/2021,ASSAULT,500 BLOCK,505 LARGO RD EB,8340,
PP21092700001706,9/27/2021,ACCIDENT WITH IMPOUND,,HIGH BRIDGE RD / ANNAPOLIS RD EB,16440,
PP21092700001512,9/27/2021,"AUTO, STOLEN",4400 BLOCK,4416 LYONS ST NB,15817,
PP21092700001031,9/27/2021,THEFT,5900 BLOCK,5929 FISHER RD,15817,
PP21092700000989,9/27/2021,ACCIDENT WITH IMPOUND,4900 BLOCK,4901 SILVER HILL RD NB,15577,
PP21092700001956,9/27/2021,THEFT,4400 BLOCK,4414 GREENWOOD RD,15750,
PP21092700001817,9/27/2021,ACCIDENT WITH IMPOUND,,RITCHIE MARLBORO RD / BROWN RD,8340,
PP21092700002177,9/27/2021,ACCIDENT WITH IMPOUND,,ANNAPOLIS RD WB / SB CAP BELT HWY ONRP WB ANNAPOLIS RD,10891,
PP21092700000532,9/27/2021,THEFT FROM AUTO,9400 BLOCK,9400 LANHAM SEVERN RD,15994,
PP21092700001050,9/27/2021,THEFT,4700 BLOCK,4732 SAINT BARNABAS RD NB,15817,
PP21092700000800,9/27/2021,THEFT,8500 BLOCK,8509 LANDOVER RD EB,31451,
PP21092700002326,9/27/2021,"AUTO, STOLEN",5400 BLOCK,5410 MARLBORO PIKE WB,15814,
PP21092700000946,9/27/2021,"ROBBERY, OTHER",3200 BLOCK,3235 75TH AVE,31451,
PP21092700000290,9/27/2021,ASSAULT,5800 BLOCK,5825 FISHER RD,15817,
PP21092700000321,9/27/2021,THEFT FROM AUTO,1500 BLOCK,1506 MARBLEWOOD AVE,31451,
PP21092700000636,9/27/2021,"AUTO, STOLEN",11900 BLOCK,11932 TWINLAKES DR,15750,
PP21092700000511,9/27/2021,ACCIDENT WITH IMPOUND,,HARRY S TRUMAN DR NB / PRINCE PL,8340,
PP21092700000482,9/27/2021,"B & E, RESIDENTIAL",1900 BLOCK,1936 ROCHELL AVE,15814,
PP21092700001770,9/27/2021,"B & E, RESIDENTIAL",5600 BLOCK,5611 TEMPLE HILL RD,15817,
PP21092700002191,9/27/2021,ACCIDENT WITH IMPOUND,,KENILWORTH AVE SB / EASTERN AVE,25435,
PP21092700000504,9/27/2021,THEFT FROM AUTO,6200 BLOCK,6201 CODY CT,15750,
PP21092700000515,9/27/2021,THEFT FROM AUTO,11300 BLOCK,11380 CHERRY HILL RD SB,15750,
PP21092700000783,9/27/2021,THEFT FROM AUTO,8000 BLOCK,8007 CRYDEN WAY,15814,
PP21092700000647,9/27/2021,"AUTO, STOLEN",5000 BLOCK,5001 BEECH RD,15817,
PP21092700000431,9/27/2021,THEFT,10200 BLOCK,10250 MARTIN LUTHER KING JUNIOR HWY WB,16440,
PP21092700000146,9/27/2021,"ROBBERY, COMMERCIAL",6100 BLOCK,6120 ANNAPOLIS RD,10891,
PP21092700000393,9/27/2021,ACCIDENT WITH IMPOUND,8200 BLOCK,8228 WOODYARD RD,15298,
PP21092700000518,9/27/2021,"AUTO, STOLEN",,GALLAHAN RD / PISCATAWAY RD,15298,
PP21092700000897,9/27/2021,THEFT,3100 BLOCK,3101 DONNELL DR SB,15814,
PP21092700001909,9/27/2021,ASSAULT,4500 BLOCK,4501 HOWE AVE,15577,
PP21092700000531,9/27/2021,THEFT,900 BLOCK,990 EAST SWAN CREEK RD,15572,
PP21092700000942,9/27/2021,THEFT FROM AUTO,4000 BLOCK,4004 ALTON ST,15568,
PP21092700001409,9/27/2021,"B & E, RESIDENTIAL",1300 BLOCK,1300 SOUTHVIEW DR,15574,
PP21092700001620,9/27/2021,THEFT,3600 BLOCK,3632 WOOD CREEK DR,15577,
PP21092700000400,9/27/2021,"AUTO, STOLEN",6100 BLOCK,6117 OTIS ST,10891,
PP21092700000414,9/27/2021,"B & E, COMMERCIAL",3000 BLOCK,3030 CRAIN HWY SE,17002,
PP21092700000668,9/27/2021,SEX OFFENSE,900 BLOCK,901 HARRY S TRUMAN DR N,8340,
PP21092700000467,9/27/2021,THEFT FROM AUTO,5000 BLOCK,5029 56TH AVE,8347,
PP21092700000623,9/27/2021,"AUTO, STOLEN",9900 BLOCK,9950 ROYAL COMMERCE PL,8340,
PP21092800000473,9/28/2021,THEFT FROM AUTO,3800 BLOCK,3814 REGENCY PKWY,15577,
PP21092800001553,9/28/2021,SEX OFFENSE,5000 BLOCK,5026 SILVER HILL CT,15814,
PP21092800000697,9/28/2021,THEFT FROM AUTO,3500 BLOCK,3501 POHANKA PL,15817,
PP21092800001129,9/28/2021,THEFT FROM AUTO,5100 BLOCK,5101 LAWRENCE PL,10891,
PP21092800002008,9/28/2021,THEFT FROM AUTO,16400 BLOCK,16410 MCKENDREE RD,9221,
PP21092800002017,9/28/2021,"ROBBERY, OTHER",1000 BLOCK,1006 LINDSAY RD,15574,
PP21092800000611,9/28/2021,THEFT FROM AUTO,11200 BLOCK,11203 BLACK FOOT CT,15750,
PP21092800000182,9/28/2021,"B & E, COMMERCIAL",5800 BLOCK,5805 SILVER HILL RD NB,15814,
PP21092800000711,9/28/2021,THEFT,600 BLOCK,620 STRETFORD WAY,31451,
PP21092800000391,9/28/2021,THEFT FROM AUTO,7000 BLOCK,7016 FREEPORT ST,15302,
PP21092800001403,9/28/2021,ACCIDENT WITH IMPOUND,,OLD BRANCH AVE / ALLENTOWN RD SB,15817,
PP21092800001367,9/28/2021,THEFT,7400 BLOCK,7467 ANNAPOLIS RD EB,10891,
PP21092800000194,9/28/2021,"ASSAULT, WEAPON",9100 BLOCK,9125 FOWLER LN,15994,
PP21092800000521,9/28/2021,ASSAULT,1800 BLOCK,1801 METZEROTT RD,10889,
PP21092800000458,9/28/2021,THEFT FROM AUTO,3700 BLOCK,3701 SAINT BARNABAS RD SB,15577,
PP21092800001048,9/28/2021,THEFT FROM AUTO,1000 BLOCK,1032 HAMPTON PARK BLVD,15568,
PP21092800001491,9/28/2021,ACCIDENT WITH IMPOUND,,LAUREL BOWIE RD NB / MONTPELIER DR,15999,
PP21092800001718,9/28/2021,ASSAULT,4800 BLOCK,4814 RIVER CREEK TER,15750,
PP21092800001081,9/28/2021,"AUTO, STOLEN",,CHILLUM RD EB / QUEENS CHAPEL RD NB,8789,
PP21092800000267,9/28/2021,THEFT FROM AUTO,4000 BLOCK,4039 LYONS ST SB,15817,
PP21092800001765,9/28/2021,ACCIDENT WITH IMPOUND,,GARRETT A MORGAN BLVD SB / CENTRAL AVE WB,31451,
PP21092800000459,9/28/2021,THEFT FROM AUTO,3800 BLOCK,3802 REGENCY PKWY,15577,
PP21092800000564,9/28/2021,THEFT FROM AUTO,7400 BLOCK,7403 18TH AVE,10889,
PP21092800001124,9/28/2021,"B & E, RESIDENTIAL",3200 BLOCK,3214 SYCAMORE LN,15577,
PP21092800000246,9/28/2021,ASSAULT,,23RD AVE / UNIVERSITY BLVD EB,10889,
PP21092800001817,9/28/2021,ACCIDENT WITH IMPOUND,6800 BLOCK,6846 RIVERDALE RD WB,15302,
PP21092800000338,9/28/2021,THEFT FROM AUTO,7000 BLOCK,7006 EAST RIDGE DR,31451,
PP21092800001221,9/28/2021,THEFT,7500 BLOCK,7546 ANNAPOLIS RD WB,15302,
PP21092800000514,9/28/2021,THEFT FROM AUTO,8800 BLOCK,8808 OXWELL LN,15999,
PP21092800001587,9/28/2021,ACCIDENT WITH IMPOUND,12600 BLOCK,12600 CAMBLETON DR,8340,
PP21092800001452,9/28/2021,"ROBBERY, OTHER",4900 BLOCK,4921 WINTHROP ST,15574,
PP21092800001566,9/28/2021,THEFT,6700 BLOCK,6733 NEW HAMPSHIRE AVE NB,2327,
PP21092800000888,9/28/2021,ACCIDENT WITH IMPOUND,,SAINT BARNABAS RD NB / LEISURE DR,15817,
PP21092800000522,9/28/2021,THEFT FROM AUTO,6300 BLOCK,6306 OLD BRANCH AVE NB,15817,
PP21092800000663,9/28/2021,"AUTO, STOLEN",9300 BLOCK,9310 19TH AVE,10889,
PP21092800000326,9/28/2021,THEFT FROM AUTO,6300 BLOCK,6311 AMMENDALE RD,15750,
PP21092800000332,9/28/2021,"AUTO, STOLEN",11700 BLOCK,11706 KIMBERLY WOODS LN,15572,
PP21092800000123,9/28/2021,THEFT FROM AUTO,3500 BLOCK,3572 DEAN DR,8789,
PP21092800002225,9/28/2021,THEFT,2100 BLOCK,2116 TIBER DR,15814,
PP21092800001526,9/28/2021,ACCIDENT WITH IMPOUND,7400 BLOCK,7407 ALLENTOWN RD,15572,
PP21092800001478,9/28/2021,"ROBBERY, VEHICLE",3400 BLOCK,3415 DODGE PARK RD,31451,
PP21092800000369,9/28/2021,THEFT FROM AUTO,4200 BLOCK,4220 SUITLAND RD,15577,
PP21092800000404,9/28/2021,THEFT FROM AUTO,5100 BLOCK,5106 FLINTRIDGE DR,10891,
PP21092800000365,9/28/2021,THEFT FROM AUTO,6600 BLOCK,6612 RONALD RD,15568,
PP21092800001877,9/28/2021,THEFT,11100 BLOCK,11100 BALTIMORE AVE SB,15750,
PP21092800001243,9/28/2021,ACCIDENT WITH IMPOUND,,ALLENTOWN RD / COMET DR,15572,
PP21092800000909,9/28/2021,THEFT FROM AUTO,4800 BLOCK,4868 66TH AVE,10891,
PP21092800000552,9/28/2021,THEFT FROM AUTO,9000 BLOCK,9020 BALTIMORE AVE SB,15305,
PP21092800001615,9/28/2021,"AUTO, STOLEN",7000 BLOCK,7004 LANHAM LN,15572,
PP21092800000993,9/28/2021,THEFT,900 BLOCK,901 HARRY S TRUMAN DR N,8340,
PP21092900000746,9/29/2021,THEFT,6800 BLOCK,6889 NEW HAMPSHIRE AVE NB,2327,
PP21092900002107,9/29/2021,ACCIDENT WITH IMPOUND,4700 BLOCK,4777 MARLBORO PIKE EB,15568,
PP21092900001493,9/29/2021,THEFT,5800 BLOCK,5814 SILVER HILL RD SB,15814,
PP21092900000884,9/29/2021,THEFT FROM AUTO,3600 BLOCK,3601 POWDER MILL RD EB,15750,
PP21092900000653,9/29/2021,THEFT FROM AUTO,2000 BLOCK,2021 BROOKS DR SB,15814,
PP21092900000624,9/29/2021,THEFT FROM AUTO,4100 BLOCK,4147 SOUTHERN AVE,15568,
PP21092900001121,9/29/2021,ACCIDENT WITH IMPOUND,9900 BLOCK,9920 WILLIAMSBURG DR,17002,
PP21092900000900,9/29/2021,THEFT,4700 BLOCK,4710 CHERRY HILL RD WB,15305,
PP21092900000335,9/29/2021,THEFT FROM AUTO,7300 BLOCK,7306 RIVERDALE RD WB,15994,
PP21092900001660,9/29/2021,THEFT,6200 BLOCK,6225 SLIGO PKWY,8789,
PP21092900000574,9/29/2021,"AUTO, STOLEN",,RITCHIE STATION CT / WALKER MILL RD EB,15814,
PP21092900000392,9/29/2021,ACCIDENT WITH IMPOUND,,SAINT BARNABAS RD NB / TEMPLE HILL RD,15817,
PP21092900002243,9/29/2021,THEFT,3600 BLOCK,3610 OLD SILVER HILL RD,15577,
PP21092900000673,9/29/2021,"AUTO, STOLEN",8900 BLOCK,8905 TRAPPER CT,10889,
PP21092900001636,9/29/2021,"AUTO, STOLEN",14200 BLOCK,14202 CLEMENTS WAY,9221,
PP21092900001584,9/29/2021,"AUTO, STOLEN",4400 BLOCK,4411 ARNOLD RD,15577,
PP21092900000379,9/29/2021,ACCIDENT WITH IMPOUND,2000 BLOCK,2020 BROOKS DR NB,15814,
PP21092900000181,9/29/2021,"ROBBERY, OTHER",2000 BLOCK,2010 DREXEL ST,10889,
PP21092900001840,9/29/2021,ACCIDENT WITH IMPOUND,,WOOD STREAM DR / PALAMAR DR,15994,
PP21092900000842,9/29/2021,THEFT FROM AUTO,10100 BLOCK,10100 51ST AVE,15305,
PP21092900000919,9/29/2021,THEFT FROM AUTO,2000 BLOCK,2021 BROOKS DR SB,15814,
PP21092900001176,9/29/2021,THEFT FROM AUTO,1900 BLOCK,1900 VAN BUREN ST,10889,
PP21092900000990,9/29/2021,"AUTO, STOLEN",10800 BLOCK,10814 SUGAR MAPLE TER,8340,
PP21092900001874,9/29/2021,ASSAULT,10600 BLOCK,10601 MARTIN LUTHER KING JUNIOR HWY EB,16440,
PP21092900000583,9/29/2021,THEFT FROM AUTO,5300 BLOCK,5367 QUINCY ST,10891,
PP21092900001050,9/29/2021,THEFT FROM AUTO,11800 BLOCK,11850 BALTIMORE AVE SB,15750,
PP21092900002244,9/29/2021,ASSAULT,5500 BLOCK,5500 SILVER HILL RD SB,15814,
PP21092900001240,9/29/2021,THEFT FROM AUTO,7700 BLOCK,7733 ANNAPOLIS RD EB,10891,
PP21092900001115,9/29/2021,"AUTO, STOLEN",3600 BLOCK,3601 POWDER MILL RD EB,15750,
PP21092900001692,9/29/2021,THEFT FROM AUTO,7500 BLOCK,7530 ANNAPOLIS RD WB,15302,
PP21092900000437,9/29/2021,"AUTO, STOLEN",4700 BLOCK,4704 QUIMBY AVE,15750,
PP21092900001896,9/29/2021,"AUTO, STOLEN",2700 BLOCK,2702 LADYGROVE RD,17158,
PP21092900000315,9/29/2021,THEFT FROM AUTO,6800 BLOCK,6803 10TH AVE,2327,
PP21092900001427,9/29/2021,THEFT FROM AUTO,4300 BLOCK,4321 SELLMAN RD,15750,
PP21092900001928,9/29/2021,THEFT,3400 BLOCK,3416 CURTIS DR,15577,
PP21092900001160,9/29/2021,"AUTO, STOLEN",7700 BLOCK,7700 MATAPEAKE BUSINESS DR,9221,
PP21092900002081,9/29/2021,"AUTO, STOLEN",3700 BLOCK,3730 BRANCH AVE NB,15577,
PP21092900001378,9/29/2021,"B & E, OTHER",10100 BLOCK,10101 MARTIN LUTHER KING JUNIOR HWY EB,15994,
PP21092900001395,9/29/2021,ACCIDENT WITH IMPOUND,,HARRY S TRUMAN DR NB / WHITE HOUSE RD,8340,
PP21092900002298,9/29/2021,"AUTO, STOLEN",7800 BLOCK,7800 ANNAPOLIS RD WB,10891,
PP21092900000404,9/29/2021,"AUTO, STOLEN",6100 BLOCK,6110 OTIS ST,10891,
PP21092900001670,9/29/2021,ASSAULT,5100 BLOCK,5110 INDIAN HEAD HWY NB,15574,
PP21092900001851,9/29/2021,ASSAULT,8800 BLOCK,8803 POLICE PLAZA,17002,
PP21092900000555,9/29/2021,ACCIDENT WITH IMPOUND,8400 BLOCK,8400 BLK ALLENTOWN RD,15572,
PP21092900002157,9/29/2021,ACCIDENT WITH IMPOUND,,WOODYARD RD NB / BRANCH AVE NB,15298,
PP21092900000768,9/29/2021,ACCIDENT WITH IMPOUND,,PENNSY DR / VETERANS PKWY NB,31451,
PP21092900001088,9/29/2021,"AUTO, STOLEN",4400 BLOCK,4410 POWDER MILL RD,15750,
PP21092900000271,9/29/2021,"AUTO, STOLEN",5000 BLOCK,5076 SILVER HILL CT,15814,
PP21093000000793,9/30/2021,THEFT,4700 BLOCK,4700 BERWYN HOUSE RD,15305,
PP21093000001226,9/30/2021,ACCIDENT WITH IMPOUND,,SHERIFF RD / MARTIN LUTHER KING JUNIOR HWY WB,31451,
PP21093000000527,9/30/2021,THEFT FROM AUTO,11200 BLOCK,11270 EVANS TRL,15750,
PP21093000002414,9/30/2021,"AUTO, STOLEN",800 BLOCK,814 EAST TANTALLON DR,15572,
PP21093000000864,9/30/2021,THEFT FROM AUTO,1000 BLOCK,1032 HAMPTON PARK BLVD,15568,
PP21093000001562,9/30/2021,ACCIDENT WITH IMPOUND,9000 BLOCK,9010 WOODYARD RD NB,15298,
PP21093000000024,9/30/2021,ACCIDENT WITH IMPOUND,5500 BLOCK,5500 BLK SAINT BARNABAS RD NB,15572,
PP21093000000710,9/30/2021,"AUTO, STOLEN",6200 BLOCK,6264 OLD CENTRAL AVE,15568,
PP21093000000180,9/30/2021,"ROBBERY, OTHER",4400 BLOCK,4421 WHEELER RD,15574,
PP21093000000773,9/30/2021,"B & E, RESIDENTIAL",3200 BLOCK,3238 DONNELL DR NB,15814,
PP21093000000699,9/30/2021,"ASSAULT, WEAPON",11600 BLOCK,11612 SPRUCE AVE,15750,
PP21093000000708,9/30/2021,THEFT FROM AUTO,,SHADY GLEN DR / MIGLIORI CT,15814,
PP21093000001418,9/30/2021,THEFT FROM AUTO,7400 BLOCK,7460 ANNAPOLIS RD WB,10891,
PP21093000000102,9/30/2021,THEFT,3300 BLOCK,3300 FORESTVILLE RD NB,15814,
PP21093000000643,9/30/2021,THEFT FROM AUTO,1900 BLOCK,1904 ROCHELL AVE,15814,
PP21093000000468,9/30/2021,"AUTO, STOLEN",5200 BLOCK,5280 MARLBORO PIKE WB,15568,
PP21093000000546,9/30/2021,THEFT FROM AUTO,10300 BLOCK,10302 BENDING BROOK WAY,17002,
PP21093000000122,9/30/2021,THEFT FROM AUTO,6200 BLOCK,6205 ANNAPOLIS RD EB,10891,
PP21093000000318,9/30/2021,THEFT,5900 BLOCK,5910 PRINCESS GARDEN PKWY,15994,
PP21093000001381,9/30/2021,ACCIDENT WITH IMPOUND,,RHODE ISLAND AVE / LOCUST SPRING RD,15305,
PP21093000002151,9/30/2021,"ASSAULT, SHOOTING",4500 BLOCK,4510 LORDS LANDING RD,17002,
PP21093000000848,9/30/2021,"B & E, COMMERCIAL",8600 BLOCK,8603 OLD ARDMORE RD,31451,
PP21093000000906,9/30/2021,SEX OFFENSE,600 BLOCK,607 SOUTHERN AVE,26015,
PP21093000000715,9/30/2021,SEX OFFENSE,14700 BLOCK,14714 MOUNT CALVERT RD,17002,
PP21093000001786,9/30/2021,THEFT FROM AUTO,11200 BLOCK,11270 EVANS TRL,15750,
PP21093000000298,9/30/2021,"B & E, COMMERCIAL",10600 BLOCK,10624 BALTIMORE AVE SB,15750,
PP21093000001410,9/30/2021,THEFT FROM AUTO,800 BLOCK,839 COMMERCE DR,8340,
PP21093000000807,9/30/2021,"ROBBERY, VEHICLE",8700 BLOCK,8745 BRANCH AVE SB,15298,
PP21093000001499,9/30/2021,THEFT FROM AUTO,5700 BLOCK,5702 SARGENT RD SB,8789,
PP21093000002436,9/30/2021,ASSAULT,3300 BLOCK,3304 ANDOVER PL,15577,
PP21093000001520,9/30/2021,"AUTO, STOLEN",8600 BLOCK,8603 DORIAN LN,15298,
PP21093000000174,9/30/2021,"AUTO, STOLEN",11800 BLOCK,11815 LIVINGSTON RD,15572,
PP21093000000745,9/30/2021,THEFT FROM AUTO,1100 BLOCK,1111 PALMER RD,15572,
PP21093000000860,9/30/2021,THEFT FROM AUTO,4800 BLOCK,4801 GUILFORD RD,15305,
PP21093000001823,9/30/2021,"B & E, COMMERCIAL",12300 BLOCK,12300 BALTIMORE AVE SB,15750,
PP21093000001338,9/30/2021,ACCIDENT WITH IMPOUND,,RIVERDALE RD EB / 64TH AVE,15302,
PP21093000001109,9/30/2021,"B & E, RESIDENTIAL",4800 BLOCK,4804 NEWLAND RD,15577,
PP21093000000419,9/30/2021,THEFT FROM AUTO,14200 BLOCK,14240 RUTHERFORD RD,8340,
PP21093000000322,9/30/2021,"B & E, COMMERCIAL",10800 BLOCK,10800 RHODE ISLAND AVE,15750,
PP21093000002296,9/30/2021,"ASSAULT, WEAPON",3200 BLOCK,3211 BRANCH AVE SB,15817,
PP21093000002042,9/30/2021,ACCIDENT WITH IMPOUND,7300 BLOCK,7304 SOUTH OSBORNE RD,17002,
PP21093000000327,9/30/2021,THEFT FROM AUTO,5500 BLOCK,5516 ELLERBIE ST,15994,
PP21093000001655,9/30/2021,ACCIDENT WITH IMPOUND,,PENNSYLVANIA AVE WB / SHADYSIDE AVE,15577,
PP21093000002427,9/30/2021,"AUTO, STOLEN",3200 BLOCK,3217 BRANCH AVE SB,15817,
PP21093000001061,9/30/2021,THEFT FROM AUTO,10000 BLOCK,10000 GREENBELT RD WB,15994,
PP21093000002423,9/30/2021,THEFT FROM AUTO,9800 BLOCK,9810 APOLLO DR,8340,
PP21093000001321,9/30/2021,"AUTO, STOLEN",9200 BLOCK,9220 CRAIN HWY SE,17002,
PP21093000000590,9/30/2021,ACCIDENT WITH IMPOUND,,BRIGHTSEAT RD / LANDOVER RD EB,31451,
PP21093000000337,9/30/2021,"B & E, COMMERCIAL",10900 BLOCK,10973 BALTIMORE AVE NB,15750,
PP21093000001404,9/30/2021,THEFT,9100 BLOCK,9139 RIGGS RD,10889,
PP21093000000946,9/30/2021,THEFT FROM AUTO,200 BLOCK,207 KETTERING DR,8340,
PP21093000000847,9/30/2021,"AUTO, STOLEN",5900 BLOCK,5910 PRINCESS GARDEN PKWY,15994,
PP21093000002230,9/30/2021,ACCIDENT WITH IMPOUND,,GLENN DALE BLVD EB / DAISY LN,16240,
PP21093000001309,9/30/2021,ASSAULT,100 BLOCK,112 STATON DR,8340,
PP21093000000988,9/30/2021,"ROBBERY, OTHER",500 BLOCK,542 WILSON BRIDGE DR,15574,
PP21093000002104,9/30/2021,"ROBBERY, OTHER",1500 BLOCK,1518 DUNWOODY AVE,15574,
PP21093000000360,9/30/2021,"B & E, COMMERCIAL",5000 BLOCK,5023 GARRETT AVE,15750,
PP21093000001013,9/30/2021,ASSAULT,2300 BLOCK,2308 CHILLUM RD WB,8789,
PP21100100000355,10/1/2021,THEFT FROM AUTO,7600 BLOCK,7605 CRAIN HWY SE,17002,
PP21100100001455,10/1/2021,THEFT FROM AUTO,6100 BLOCK,6100 WESTCHESTER PARK DR,15305,
PP21100100000788,10/1/2021,"AUTO, STOLEN",100 BLOCK,172 GREENMEADOW WAY,8340,
PP21100100002150,10/1/2021,"AUTO, STOLEN",5400 BLOCK,5415 16TH AVE,8789,
