Title,Company_name,Company,Salary,Salary1,Schedule,jobsnippet,date,Place
Information Security Analyst,PayPal,Remote in Arizona,Estimated $90.3K - $114K a year,,,"Advanced understanding of tools and processes used in security incident detection and handling, security threats, incident response, and security monitoring…","Posted
Posted 11 days ago",
"2025322 Cyber Security SME $215,000.00",B4CORP,"Herndon, VA",,"Up to $2,000 a week",,"Cloud security controls and implementation.
 Self-starter able to work independently and build relationships with technical reps across divisions, comfortable…","Posted
Posted 30 days ago",Supportive management
Product Security Lead,Cox Communications,"Atlanta, GA",,"$105,700 - $176,100 a year",,"Bringing together product development teams and cyber security to achieve a high level of cyber security quality.
 USD 105,700.00 - 176,100.00 per year.","Posted
Posted 30+ days ago",Good compensation and benefits
Information Security Engineer,PayPal,Remote in Hawaii,,"$60,900 - $147,400 a year",,The Cloud Infrastructure Operations team is the main responsible on maintaining an acceptable security posture across all our cloud environments’ infrastructure…,"Posted
Posted 27 days ago",
Sr. IT Risk & Internal Auditor,RETIREMENT CLEARINGHOUSE LLC,"Charlotte, NC 28202 
(Downtown Charlotte area)",,"$100,000 - $120,000 a year",,"Support IT and related departments with the formation of IT and security policies/procedures.
 FULL-TIME/PART-TIME: Full-Time.","Posted
Posted 1 day ago",
Information Technology CyberSecurity Specialist,U.S. Department of State,"Hybrid remote in Washington, DC 20520",,"$94,199 - $122,459 a year",,"Experience identifying cyber security programmatic problems, trends and weaknesses and recommending solutions to reduce program vulnerabilities.","Posted
Posted 4 days ago",
Special Agent: Cybersecurity/Technology Background,Federal Bureau of Investigation,"San Diego, CA",,"$78,000 - $153,000 a year",,"You will be prompted to either Sign In to continue or to register with FBIJobs if you don’t already have an account.
 Adhere to strict standards of conduct.","Posted
Posted 2 days ago",
Vulnerability Management Analyst,TikTok,"Hybrid remote in San Jose, CA",,"$80,000 - $100,000 a year",,"Bachelor’s Degree or industry equivalent work experience in vulnerability management in a security program.
 Log and track discovered vulnerabilities.","Posted
Posted 30+ days ago",
Cyber Security Specialist,Acacia Network,"Hybrid remote in Bronx, NY 10457",,"$100,000 - $110,000 a year",,"Oversee and monitor routine security administration.
 Proven experience in network and/or systems security.
 Respond immediately to security incidents and provide…","Employer
Active 5 days ago",Maternity leave satisfaction
Cloud Security Architect,Idea Evolver,Remote,,"$120,000 - $160,000 a year",,"Oversee internal security team and company security posture.
 Conduct architecture reviews and white box security testing to assess and validate application…","Employer
Active 4 days ago",
Security Analyst,Brooksource,"Hybrid remote in Lansing, MI 48917",,$24 - $25 an hour,,Creates security procedures to ensure adequate security procedures have been developed to identify and classify cyber events.,"Employer
Active 7 days ago",Job satisfaction
IT Cyber Security Specialist,"Esolvit Inc.,","Woburn, MA 01801",,"$90,000 - $93,000 a year",,"Maintain security logs for each system.
 Troubleshoot security issues as they arise.
 3-5 years of experience in security.
 Job Types: Full-time, Contract.","Posted
Posted 20 days ago",Job satisfaction
Cyber Security Analyst,State of Hawaii,Hawaii,,"$4,500 - $5,400 a month",,"The Security Section prioritizes supporting systems from an enterprise perspective, providing support of core cyber security services available to all State…","Posted
Posted 6 days ago",
Digital Forensics Analyst,Technology Concepts & Design (TCDI),"Remote in Cleveland, OH",Estimated $87.6K - $111K a year,,,"This position will be responsible for preserving and analyzing data from various sources, including laptops / desktops, servers, cell phones, cloud-based…","Posted
Posted 30+ days ago",
IT Security Engineer,CR&R Inc,"Stanton, CA 90680",,"From $125,000 a year",,"He/She will devise and manage a security roadmap that maintains and strengthens the company's security posture.
 Maintenance of MS Intune and Cortex XDR.","Employer
Active 4 days ago",
Senior Security Engineer (IAM),Kforce,"Dublin, CA 94568",,"$175,000 - $200,000 a year",,"In-depth knowledge of general information security.
 Strong knowledge of current IAM space and have a self-driven desire to research current information on the…","Posted
Posted 30+ days ago",Salary meets cost of living
Jr Cyber Security Analyst,Sentara Healthcare,"Virginia Beach, VA 23455 
(Bayside area)",Estimated $70.5K - $89.3K a year,,,"Under the close direction of permanently employed leaders of the division, Intern assumes responsibility for operational projects and supporting the leadership…","Posted
Posted 12 days ago",
Director of Information Security #517469,San Francisco State University,"Hybrid remote in San Francisco, CA 94132",Estimated $135K - $171K a year,,,"Experience with cyber security frameworks such as ISO 27000, NIST 800.
 A working knowledge of information security practices and concepts including: access…","Employer
Active 4 days ago",Good management
"IT and Operational Risk Management, Assoc. Dir.",FHLBank San Francisco,"San Francisco, CA 94104 
(Financial District/South Beach area)",,"$155,000 - $175,000 a year",,"Additionally, the role will ensure that key ERM, ORM and ITRM processes including identification, assessment, monitoring, management, and reporting of risks…","Posted
Posted 30+ days ago",Fair pay
Intermediate Information Security Analyst,"Data Systems Analysts, Inc.","Remote in Washington, DC 20015",,"$75,000 - $90,000 a year",,"Working closely with senior agency security officials, system owners, information system security officers (ISSOs) and other stakeholders to advise and…","Posted
Posted 30+ days ago",Good compensation and benefits
Adjunct – Information Systems Technology -Cybersecurity,Columbus State Community College,"Columbus, OH 43215 
(Downtown area)",,$54.48 an hour,,The Adjunct – Information Systems Technology – Cybersecurity position provides quality instruction and maintains a positive learning environment in the…,"Posted
Posted 30+ days ago",Good work-life balance
Information Security Analyst,PayPal,Remote in Arizona,Estimated $90.3K - $114K a year,,,"Advanced understanding of tools and processes used in security incident detection and handling, security threats, incident response, and security monitoring…","Posted
Posted 11 days ago",
"2025322 Cyber Security SME $215,000.00",B4CORP,"Herndon, VA",,"Up to $2,000 a week",,"Cloud security controls and implementation.
 Self-starter able to work independently and build relationships with technical reps across divisions, comfortable…","Posted
Posted 30 days ago",Supportive management
Product Security Lead,Cox Communications,"Atlanta, GA",,"$105,700 - $176,100 a year",,"Bringing together product development teams and cyber security to achieve a high level of cyber security quality.
 USD 105,700.00 - 176,100.00 per year.","Posted
Posted 30+ days ago",Good compensation and benefits
Information Security Engineer,PayPal,Remote in Hawaii,,"$60,900 - $147,400 a year",,The Cloud Infrastructure Operations team is the main responsible on maintaining an acceptable security posture across all our cloud environments’ infrastructure…,"Posted
Posted 27 days ago",
Sr. IT Risk & Internal Auditor,RETIREMENT CLEARINGHOUSE LLC,"Charlotte, NC 28202 
(Downtown Charlotte area)",,"$100,000 - $120,000 a year",,"Support IT and related departments with the formation of IT and security policies/procedures.
 FULL-TIME/PART-TIME: Full-Time.","Posted
Posted 1 day ago",
Information Technology CyberSecurity Specialist,U.S. Department of State,"Hybrid remote in Washington, DC 20520",,"$94,199 - $122,459 a year",,"Experience identifying cyber security programmatic problems, trends and weaknesses and recommending solutions to reduce program vulnerabilities.","Posted
Posted 4 days ago",
Special Agent: Cybersecurity/Technology Background,Federal Bureau of Investigation,"San Diego, CA",,"$78,000 - $153,000 a year",,"You will be prompted to either Sign In to continue or to register with FBIJobs if you don’t already have an account.
 Adhere to strict standards of conduct.","Posted
Posted 2 days ago",
Vulnerability Management Analyst,TikTok,"Hybrid remote in San Jose, CA",,"$80,000 - $100,000 a year",,"Bachelor’s Degree or industry equivalent work experience in vulnerability management in a security program.
 Log and track discovered vulnerabilities.","Posted
Posted 30+ days ago",
Cyber Security Specialist,Acacia Network,"Hybrid remote in Bronx, NY 10457",,"$100,000 - $110,000 a year",,"Oversee and monitor routine security administration.
 Proven experience in network and/or systems security.
 Respond immediately to security incidents and provide…","Employer
Active 5 days ago",Maternity leave satisfaction
Cloud Security Architect,Idea Evolver,Remote,,"$120,000 - $160,000 a year",,"Oversee internal security team and company security posture.
 Conduct architecture reviews and white box security testing to assess and validate application…","Employer
Active 4 days ago",
Security Analyst,Brooksource,"Hybrid remote in Lansing, MI 48917",,$24 - $25 an hour,,Creates security procedures to ensure adequate security procedures have been developed to identify and classify cyber events.,"Employer
Active 7 days ago",Job satisfaction
IT Cyber Security Specialist,"Esolvit Inc.,","Woburn, MA 01801",,"$90,000 - $93,000 a year",,"Maintain security logs for each system.
 Troubleshoot security issues as they arise.
 3-5 years of experience in security.
 Job Types: Full-time, Contract.","Posted
Posted 20 days ago",Job satisfaction
Cyber Security Analyst,State of Hawaii,Hawaii,,"$4,500 - $5,400 a month",,"The Security Section prioritizes supporting systems from an enterprise perspective, providing support of core cyber security services available to all State…","Posted
Posted 6 days ago",
Digital Forensics Analyst,Technology Concepts & Design (TCDI),"Remote in Cleveland, OH",Estimated $87.6K - $111K a year,,,"This position will be responsible for preserving and analyzing data from various sources, including laptops / desktops, servers, cell phones, cloud-based…","Posted
Posted 30+ days ago",
IT Security Engineer,CR&R Inc,"Stanton, CA 90680",,"From $125,000 a year",,"He/She will devise and manage a security roadmap that maintains and strengthens the company's security posture.
 Maintenance of MS Intune and Cortex XDR.","Employer
Active 4 days ago",
Senior Security Engineer (IAM),Kforce,"Dublin, CA 94568",,"$175,000 - $200,000 a year",,"In-depth knowledge of general information security.
 Strong knowledge of current IAM space and have a self-driven desire to research current information on the…","Posted
Posted 30+ days ago",Salary meets cost of living
Jr Cyber Security Analyst,Sentara Healthcare,"Virginia Beach, VA 23455 
(Bayside area)",Estimated $70.5K - $89.3K a year,,,"Under the close direction of permanently employed leaders of the division, Intern assumes responsibility for operational projects and supporting the leadership…","Posted
Posted 12 days ago",
Director of Information Security #517469,San Francisco State University,"Hybrid remote in San Francisco, CA 94132",Estimated $135K - $171K a year,,,"Job no: 517469 Work type: Management (MPP) Location: San Francisco Categories: MPP, At-Will, Information Systems & Technology Working Title…","Employer
Active 4 days ago",Good management
"IT and Operational Risk Management, Assoc. Dir.",FHLBank San Francisco,"San Francisco, CA 94104 
(Financial District/South Beach area)",,"$155,000 - $175,000 a year",,Job Description: The Enterprise Risk Management Department (“ERM”) is looking for an Associate Director risk professional to support the Bank in further…,"Posted
Posted 30+ days ago",Fair pay
Intermediate Information Security Analyst,"Data Systems Analysts, Inc.","Remote in Washington, DC 20015",,"$75,000 - $90,000 a year",,DSA specializes in providing cutting-edge data analysis and technology solutions to our government customers. With a team of highly skilled colleagues and the…,"Posted
Posted 30+ days ago",Good compensation and benefits
Adjunct – Information Systems Technology -Cybersecurity,Columbus State Community College,"Columbus, OH 43215 
(Downtown area)",,$54.48 an hour,,POSITION SUMMARY The Adjunct – Information Systems Technology – Cybersecurity position provides quality instruction and maintains a positive learning…,"Posted
Posted 30+ days ago",Good work-life balance
Information Security Analyst,PayPal,Remote in Arizona,Estimated $90.3K - $114K a year,,,"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial…","Posted
Posted 11 days ago",
"2025322 Cyber Security SME $215,000.00",B4CORP,"Herndon, VA",,"Up to $2,000 a week",,Position Requires a Top Secret (TS/SCI) Clearance with a Polygraph. Estimated Salary: Position Level: Level 1 – Subject Matter Expert Salary Range: Up to $215…,"Posted
Posted 30 days ago",Supportive management
Product Security Lead,Cox Communications,"Atlanta, GA",,"$105,700 - $176,100 a year",,Product Security Lead Most of us grew up with big dreams about changing the world. Isn't it exciting to think that you could still have the opportunity to do…,"Posted
Posted 30+ days ago",Good compensation and benefits
Information Security Engineer,PayPal,Remote in Hawaii,,"$60,900 - $147,400 a year",,"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial…","Posted
Posted 27 days ago",
Sr. IT Risk & Internal Auditor,RETIREMENT CLEARINGHOUSE LLC,"Charlotte, NC 28202 
(Downtown Charlotte area)",,"$100,000 - $120,000 a year",,POSITION: Sr. IT Risk & Internal Auditor CATEGORY: Risk Management EXEMPT/NON-EXEMPT: Exempt FULL-TIME/PART-TIME: Full-Time DESCRIPTION: Description Grow…,"Posted
Posted 1 day ago",
Information Technology CyberSecurity Specialist,U.S. Department of State,"Hybrid remote in Washington, DC 20520",,"$94,199 - $122,459 a year",,Overview Accepting applications Open & closing dates 06/28/2023 to 07/12/2023 This job will close when we have received 100 applications which may be sooner…,"Posted
Posted 4 days ago",
Special Agent: Cybersecurity/Technology Background,Federal Bureau of Investigation,"San Diego, CA",,"$78,000 - $153,000 a year",,HOW TO APPLY STEP 1: Click on the “Apply” button to be directed to the FBIJobs Careers website. STEP 2: Click the “Start” button to begin. You will be…,"Posted
Posted 2 days ago",
Vulnerability Management Analyst,TikTok,"Hybrid remote in San Jose, CA",,"$80,000 - $100,000 a year",,"Bachelor’s Degree or industry equivalent work experience in vulnerability management in a security program.
 Log and track discovered vulnerabilities.","Posted
Posted 30+ days ago",
Cyber Security Specialist,Acacia Network,"Hybrid remote in Bronx, NY 10457",,"$100,000 - $110,000 a year",,"Oversee and monitor routine security administration.
 Proven experience in network and/or systems security.
 Respond immediately to security incidents and provide…","Employer
Active 5 days ago",Maternity leave satisfaction
Cloud Security Architect,Idea Evolver,Remote,,"$120,000 - $160,000 a year",,"Oversee internal security team and company security posture.
 Conduct architecture reviews and white box security testing to assess and validate application…","Employer
Active 4 days ago",
Security Analyst,Brooksource,"Hybrid remote in Lansing, MI 48917",,$24 - $25 an hour,,Creates security procedures to ensure adequate security procedures have been developed to identify and classify cyber events.,"Employer
Active 7 days ago",Job satisfaction
Cyber Security Analyst,State of Hawaii,Hawaii,,"$4,500 - $5,400 a month",,"The Security Section prioritizes supporting systems from an enterprise perspective, providing support of core cyber security services available to all State…","Posted
Posted 6 days ago",
IT Cyber Security Specialist,"Esolvit Inc.,","Woburn, MA 01801",,"$90,000 - $93,000 a year",,"Maintain security logs for each system.
 Troubleshoot security issues as they arise.
 3-5 years of experience in security.
 Job Types: Full-time, Contract.","Posted
Posted 20 days ago",Job satisfaction
Digital Forensics Analyst,Technology Concepts & Design (TCDI),"Remote in Cleveland, OH",Estimated $87.6K - $111K a year,,,"This position will be responsible for preserving and analyzing data from various sources, including laptops / desktops, servers, cell phones, cloud-based…","Posted
Posted 30+ days ago",
IT Security Engineer,CR&R Inc,"Stanton, CA 90680",,"From $125,000 a year",,"He/She will devise and manage a security roadmap that maintains and strengthens the company's security posture.
 Maintenance of MS Intune and Cortex XDR.","Employer
Active 4 days ago",
Senior Security Engineer (IAM),Kforce,"Dublin, CA 94568",,"$175,000 - $200,000 a year",,"In-depth knowledge of general information security.
 Strong knowledge of current IAM space and have a self-driven desire to research current information on the…","Posted
Posted 30+ days ago",Salary meets cost of living
Jr Cyber Security Analyst,Sentara Healthcare,"Virginia Beach, VA 23455 
(Bayside area)",Estimated $70.5K - $89.3K a year,,,"Under the close direction of permanently employed leaders of the division, Intern assumes responsibility for operational projects and supporting the leadership…","Posted
Posted 12 days ago",
Director of Information Security #517469,San Francisco State University,"Hybrid remote in San Francisco, CA 94132",Estimated $135K - $171K a year,,,"Experience with cyber security frameworks such as ISO 27000, NIST 800.
 A working knowledge of information security practices and concepts including: access…","Employer
Active 4 days ago",Good management
"IT and Operational Risk Management, Assoc. Dir.",FHLBank San Francisco,"San Francisco, CA 94104 
(Financial District/South Beach area)",,"$155,000 - $175,000 a year",,"Additionally, the role will ensure that key ERM, ORM and ITRM processes including identification, assessment, monitoring, management, and reporting of risks…","Posted
Posted 30+ days ago",Fair pay
Intermediate Information Security Analyst,"Data Systems Analysts, Inc.","Remote in Washington, DC 20015",,"$75,000 - $90,000 a year",,"Working closely with senior agency security officials, system owners, information system security officers (ISSOs) and other stakeholders to advise and…","Posted
Posted 30+ days ago",Good compensation and benefits
Adjunct – Information Systems Technology -Cybersecurity,Columbus State Community College,"Columbus, OH 43215 
(Downtown area)",,$54.48 an hour,,The Adjunct – Information Systems Technology – Cybersecurity position provides quality instruction and maintains a positive learning environment in the…,"Posted
Posted 30+ days ago",Good work-life balance
Information Security Analyst,PayPal,Remote in Arizona,Estimated $90.3K - $114K a year,,,"Advanced understanding of tools and processes used in security incident detection and handling, security threats, incident response, and security monitoring…","Posted
Posted 11 days ago",
"2025322 Cyber Security SME $215,000.00",B4CORP,"Herndon, VA",,"Up to $2,000 a week",,"Cloud security controls and implementation.
 Self-starter able to work independently and build relationships with technical reps across divisions, comfortable…","Posted
Posted 30 days ago",Supportive management
Product Security Lead,Cox Communications,"Atlanta, GA",,"$105,700 - $176,100 a year",,"Bringing together product development teams and cyber security to achieve a high level of cyber security quality.
 USD 105,700.00 - 176,100.00 per year.","Posted
Posted 30+ days ago",Good compensation and benefits
Information Security Engineer,PayPal,Remote in Hawaii,,"$60,900 - $147,400 a year",,The Cloud Infrastructure Operations team is the main responsible on maintaining an acceptable security posture across all our cloud environments’ infrastructure…,"Posted
Posted 27 days ago",
Sr. IT Risk & Internal Auditor,RETIREMENT CLEARINGHOUSE LLC,"Charlotte, NC 28202 
(Downtown Charlotte area)",,"$100,000 - $120,000 a year",,"Support IT and related departments with the formation of IT and security policies/procedures.
 FULL-TIME/PART-TIME: Full-Time.","Posted
Posted 1 day ago",
Information Technology CyberSecurity Specialist,U.S. Department of State,"Hybrid remote in Washington, DC 20520",,"$94,199 - $122,459 a year",,"Experience identifying cyber security programmatic problems, trends and weaknesses and recommending solutions to reduce program vulnerabilities.","Posted
Posted 4 days ago",
Special Agent: Cybersecurity/Technology Background,Federal Bureau of Investigation,"San Diego, CA",,"$78,000 - $153,000 a year",,"You will be prompted to either Sign In to continue or to register with FBIJobs if you don’t already have an account.
 Adhere to strict standards of conduct.","Posted
Posted 2 days ago",
Vulnerability Management Analyst,TikTok,"Hybrid remote in San Jose, CA",,"$80,000 - $100,000 a year",,"Bachelor’s Degree or industry equivalent work experience in vulnerability management in a security program.
 Log and track discovered vulnerabilities.","Posted
Posted 30+ days ago",
Cyber Security Specialist,Acacia Network,"Hybrid remote in Bronx, NY 10457",,"$100,000 - $110,000 a year",,"Oversee and monitor routine security administration.
 Proven experience in network and/or systems security.
 Respond immediately to security incidents and provide…","Employer
Active 5 days ago",Maternity leave satisfaction
Cloud Security Architect,Idea Evolver,Remote,,"$120,000 - $160,000 a year",,"Oversee internal security team and company security posture.
 Conduct architecture reviews and white box security testing to assess and validate application…","Employer
Active 4 days ago",
Security Analyst,Brooksource,"Hybrid remote in Lansing, MI 48917",,$24 - $25 an hour,,Creates security procedures to ensure adequate security procedures have been developed to identify and classify cyber events.,"Employer
Active 7 days ago",Job satisfaction
Cyber Security Analyst,State of Hawaii,Hawaii,,"$4,500 - $5,400 a month",,"The Security Section prioritizes supporting systems from an enterprise perspective, providing support of core cyber security services available to all State…","Posted
Posted 6 days ago",
IT Cyber Security Specialist,"Esolvit Inc.,","Woburn, MA 01801",,"$90,000 - $93,000 a year",,"Maintain security logs for each system.
 Troubleshoot security issues as they arise.
 3-5 years of experience in security.
 Job Types: Full-time, Contract.","Posted
Posted 20 days ago",Job satisfaction
Digital Forensics Analyst,Technology Concepts & Design (TCDI),"Remote in Cleveland, OH",Estimated $87.6K - $111K a year,,,"This position will be responsible for preserving and analyzing data from various sources, including laptops / desktops, servers, cell phones, cloud-based…","Posted
Posted 30+ days ago",
Vulnerability Specialist - Desktop Support Services,Amica Mutual Insurance Company,"Lincoln, RI 02865",,,,"This will require researching, packaging, and testing software and security patches within SCCM but not limited to working with the business to ensure the…","Posted
Posted 2 days ago",Good compensation and benefits
Associate - Cybersecurity,United Airlines,"Chicago, IL",,,,"Basic knowledge of computer operating systems, network design, embedded security, and security architecture principles.
 At least two years in a related field.","Posted
Posted 12 days ago",
Cybersecurity Analyst,Leidos,"Camp Springs, MD 20746",,"$63,050 - $130,950 a year",,"Activities include detection, mitigation, and response to cyber incidents using a combination of technology solutions and processes, and ensuring security…","Posted
Posted 30+ days ago",Salary meets cost of living
Cyber Security Instructor (virtual),Cyber Arts Camp,Remote,,$60 - $90 an hour,,"Job Types: Part-time, Contract.","Employer
Active 4 days ago",
Director of Information Security #517469,San Francisco State University,"Hybrid remote in San Francisco, CA 94132",Estimated $135K - $171K a year,,,"Experience with cyber security frameworks such as ISO 27000, NIST 800.
 A working knowledge of information security practices and concepts including: access…","Employer
Active 4 days ago",Good management
"IT and Operational Risk Management, Assoc. Dir.",FHLBank San Francisco,"San Francisco, CA 94104 
(Financial District/South Beach area)",,"$155,000 - $175,000 a year",,"Additionally, the role will ensure that key ERM, ORM and ITRM processes including identification, assessment, monitoring, management, and reporting of risks…","Posted
Posted 30+ days ago",Fair pay
Adjunct – Information Systems Technology -Cybersecurity,Columbus State Community College,"Columbus, OH 43215 
(Downtown area)",,$54.48 an hour,,The Adjunct – Information Systems Technology – Cybersecurity position provides quality instruction and maintains a positive learning environment in the…,"Posted
Posted 30+ days ago",Good work-life balance
Intermediate Information Security Analyst,"Data Systems Analysts, Inc.","Remote in Washington, DC 20015",,"$75,000 - $90,000 a year",,"Working closely with senior agency security officials, system owners, information system security officers (ISSOs) and other stakeholders to advise and…","Posted
Posted 30+ days ago",Good compensation and benefits
Information Security Analyst,PayPal,Remote in Arizona,Estimated $90.3K - $114K a year,,,"Advanced understanding of tools and processes used in security incident detection and handling, security threats, incident response, and security monitoring…","Posted
Posted 11 days ago",
Information Technology CyberSecurity Specialist,U.S. Department of State,"Hybrid remote in Washington, DC 20520",,"$94,199 - $122,459 a year",,"Experience identifying cyber security programmatic problems, trends and weaknesses and recommending solutions to reduce program vulnerabilities.","Posted
Posted 4 days ago",
Product Security Lead,Cox Communications,"Atlanta, GA",,"$105,700 - $176,100 a year",,"Bringing together product development teams and cyber security to achieve a high level of cyber security quality.
 USD 105,700.00 - 176,100.00 per year.","Posted
Posted 30+ days ago",Good compensation and benefits
Information Security Engineer,PayPal,Remote in Hawaii,,"$60,900 - $147,400 a year",,The Cloud Infrastructure Operations team is the main responsible on maintaining an acceptable security posture across all our cloud environments’ infrastructure…,"Posted
Posted 27 days ago",
"2025322 Cyber Security SME $215,000.00",B4CORP,"Herndon, VA",,"Up to $2,000 a week",,"Cloud security controls and implementation.
 Self-starter able to work independently and build relationships with technical reps across divisions, comfortable…","Posted
Posted 30 days ago",Supportive management
Special Agent: Cybersecurity/Technology Background,Federal Bureau of Investigation,"San Diego, CA",,"$78,000 - $153,000 a year",,"You will be prompted to either Sign In to continue or to register with FBIJobs if you don’t already have an account.
 Adhere to strict standards of conduct.","Posted
Posted 2 days ago",
Sr. IT Risk & Internal Auditor,RETIREMENT CLEARINGHOUSE LLC,"Charlotte, NC 28202 
(Downtown Charlotte area)",,"$100,000 - $120,000 a year",,"Support IT and related departments with the formation of IT and security policies/procedures.
 FULL-TIME/PART-TIME: Full-Time.","Posted
Posted 1 day ago",
Vulnerability Management Analyst,TikTok,"Hybrid remote in San Jose, CA",,"$80,000 - $100,000 a year",,"Bachelor’s Degree or industry equivalent work experience in vulnerability management in a security program.
 Log and track discovered vulnerabilities.","Posted
Posted 30+ days ago",
Cyber Security Specialist,Acacia Network,"Hybrid remote in Bronx, NY 10457",,"$100,000 - $110,000 a year",,"Oversee and monitor routine security administration.
 Proven experience in network and/or systems security.
 Respond immediately to security incidents and provide…","Employer
Active 5 days ago",Maternity leave satisfaction
Cloud Security Architect,Idea Evolver,Remote,,"$120,000 - $160,000 a year",,"Oversee internal security team and company security posture.
 Conduct architecture reviews and white box security testing to assess and validate application…","Employer
Active 4 days ago",
Security Analyst,Brooksource,"Hybrid remote in Lansing, MI 48917",,$24 - $25 an hour,,Creates security procedures to ensure adequate security procedures have been developed to identify and classify cyber events.,"Employer
Active 7 days ago",Job satisfaction
Cyber Security Analyst,State of Hawaii,Hawaii,,"$4,500 - $5,400 a month",,"The Security Section prioritizes supporting systems from an enterprise perspective, providing support of core cyber security services available to all State…","Posted
Posted 6 days ago",
IT Cyber Security Specialist,"Esolvit Inc.,","Woburn, MA 01801",,"$90,000 - $93,000 a year",,"Maintain security logs for each system.
 Troubleshoot security issues as they arise.
 3-5 years of experience in security.
 Job Types: Full-time, Contract.","Posted
Posted 20 days ago",Job satisfaction
Digital Forensics Analyst,Technology Concepts & Design (TCDI),"Remote in Cleveland, OH",Estimated $87.6K - $111K a year,,,"This position will be responsible for preserving and analyzing data from various sources, including laptops / desktops, servers, cell phones, cloud-based…","Posted
Posted 30+ days ago",
Vulnerability Specialist - Desktop Support Services,Amica Mutual Insurance Company,"Lincoln, RI 02865",,,,"This will require researching, packaging, and testing software and security patches within SCCM but not limited to working with the business to ensure the…","Posted
Posted 2 days ago",Good compensation and benefits
Cybersecurity Analyst,Leidos,"Camp Springs, MD 20746",,"$63,050 - $130,950 a year",,"Activities include detection, mitigation, and response to cyber incidents using a combination of technology solutions and processes, and ensuring security…","Posted
Posted 30+ days ago",Salary meets cost of living
Cyber Security Instructor (virtual),Cyber Arts Camp,Remote,,$60 - $90 an hour,,"Job Types: Part-time, Contract.","Employer
Active 4 days ago",
Director of Information Security #517469,San Francisco State University,"Hybrid remote in San Francisco, CA 94132",Estimated $135K - $171K a year,,,"Experience with cyber security frameworks such as ISO 27000, NIST 800.
 A working knowledge of information security practices and concepts including: access…","Employer
Active 4 days ago",Good management
"IT and Operational Risk Management, Assoc. Dir.",FHLBank San Francisco,"San Francisco, CA 94104 
(Financial District/South Beach area)",,"$155,000 - $175,000 a year",,"Additionally, the role will ensure that key ERM, ORM and ITRM processes including identification, assessment, monitoring, management, and reporting of risks…","Posted
Posted 30+ days ago",Fair pay
Adjunct – Information Systems Technology -Cybersecurity,Columbus State Community College,"Columbus, OH 43215 
(Downtown area)",,$54.48 an hour,,The Adjunct – Information Systems Technology – Cybersecurity position provides quality instruction and maintains a positive learning environment in the…,"Posted
Posted 30+ days ago",Good work-life balance
Intermediate Information Security Analyst,"Data Systems Analysts, Inc.","Remote in Washington, DC 20015",,"$75,000 - $90,000 a year",,"Working closely with senior agency security officials, system owners, information system security officers (ISSOs) and other stakeholders to advise and…","Posted
Posted 30+ days ago",Good compensation and benefits
Information Security Analyst,PayPal,Remote in Arizona,Estimated $90.3K - $114K a year,,,"Advanced understanding of tools and processes used in security incident detection and handling, security threats, incident response, and security monitoring…","Posted
Posted 11 days ago",
Information Technology CyberSecurity Specialist,U.S. Department of State,"Hybrid remote in Washington, DC 20520",,"$94,199 - $122,459 a year",,"Experience identifying cyber security programmatic problems, trends and weaknesses and recommending solutions to reduce program vulnerabilities.","Posted
Posted 4 days ago",
Product Security Lead,Cox Communications,"Atlanta, GA",,"$105,700 - $176,100 a year",,"Bringing together product development teams and cyber security to achieve a high level of cyber security quality.
 USD 105,700.00 - 176,100.00 per year.","Posted
Posted 30+ days ago",Good compensation and benefits
Information Security Engineer,PayPal,Remote in Hawaii,,"$60,900 - $147,400 a year",,The Cloud Infrastructure Operations team is the main responsible on maintaining an acceptable security posture across all our cloud environments’ infrastructure…,"Posted
Posted 27 days ago",
"2025322 Cyber Security SME $215,000.00",B4CORP,"Herndon, VA",,"Up to $2,000 a week",,"Cloud security controls and implementation.
 Self-starter able to work independently and build relationships with technical reps across divisions, comfortable…","Posted
Posted 30 days ago",Supportive management
Special Agent: Cybersecurity/Technology Background,Federal Bureau of Investigation,"San Diego, CA",,"$78,000 - $153,000 a year",,"You will be prompted to either Sign In to continue or to register with FBIJobs if you don’t already have an account.
 Adhere to strict standards of conduct.","Posted
Posted 2 days ago",
Sr. IT Risk & Internal Auditor,RETIREMENT CLEARINGHOUSE LLC,"Charlotte, NC 28202 
(Downtown Charlotte area)",,"$100,000 - $120,000 a year",,"Support IT and related departments with the formation of IT and security policies/procedures.
 FULL-TIME/PART-TIME: Full-Time.","Posted
Posted 1 day ago",
Vulnerability Management Analyst,TikTok,"Hybrid remote in San Jose, CA",,"$80,000 - $100,000 a year",,"Bachelor’s Degree or industry equivalent work experience in vulnerability management in a security program.
 Log and track discovered vulnerabilities.","Posted
Posted 30+ days ago",
Cyber Security Specialist,Acacia Network,"Hybrid remote in Bronx, NY 10457",,"$100,000 - $110,000 a year",,"Oversee and monitor routine security administration.
 Proven experience in network and/or systems security.
 Respond immediately to security incidents and provide…","Employer
Active 5 days ago",Maternity leave satisfaction
Cloud Security Architect,Idea Evolver,Remote,,"$120,000 - $160,000 a year",,"Oversee internal security team and company security posture.
 Conduct architecture reviews and white box security testing to assess and validate application…","Employer
Active 4 days ago",
